annotation,SYMBOL
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
protein binding,VPS37C
