annotation,SYMBOL
positive regulation of T cell proliferation,CCDC88B
defense response to protozoan,CCDC88B
positive regulation of T cell activation,CCDC88B
flagellated sperm motility,TEKTIP1
DNA replication,GMNC
single fertilization,GMNC
multicellular organism growth,GMNC
cilium assembly,GMNC
digestion,LRCOL1
lipid catabolic process,LRCOL1
microtubule cytoskeleton organization,IQCA1L
positive regulation of cell population proliferation,NKX2-6
hypothalamus development,NKX2-6
cell differentiation,NKX2-6
epithelial cell differentiation,NKX2-6
embryonic heart tube development,NKX2-6
embryonic heart tube development,NKX2-6
negative regulation of apoptotic process,NKX2-6
tongue development,NKX2-6
positive regulation of transcription by RNA polymerase II,NKX2-6
digestive tract development,NKX2-6
epithelial cell proliferation,NKX2-6
positive regulation of epithelial cell proliferation,NKX2-6
atrial cardiac muscle cell development,NKX2-6
ventricular cardiac muscle cell development,NKX2-6
pharyngeal system development,NKX2-6
pericardium development,NKX2-6
G protein-coupled receptor signaling pathway,OR6C74
detection of chemical stimulus involved in sensory perception of smell,OR6C74
proteolysis,USP17L3
apoptotic process,USP17L3
protein deubiquitination,USP17L3
protein deubiquitination,USP17L4
cell adhesion,IZUMO1R
single fertilization,IZUMO1R
fusion of sperm to egg plasma membrane involved in single fertilization,IZUMO1R
fusion of sperm to egg plasma membrane involved in single fertilization,IZUMO1R
sperm-egg recognition,IZUMO1R
BMP signaling pathway,FAM83G
G protein-coupled receptor signaling pathway,OR14I1
detection of chemical stimulus involved in sensory perception of smell,OR14I1
NAD biosynthetic process,ASPDH
negative regulation of cytokine-mediated signaling pathway,PALM3
Toll signaling pathway,PALM3
regulation of cell shape,PALM3
response to lipopolysaccharide,PALM3
mRNA processing,RBMY1B
spermatogenesis,RBMY1B
RNA splicing,RBMY1B
male gonad development,RBMY1B
glycerol biosynthetic process,PGP
chromatin remodeling,PGP
glycerophospholipid metabolic process,PGP
negative regulation of gluconeogenesis,PGP
G protein-coupled receptor signaling pathway,OR5H15
detection of chemical stimulus involved in sensory perception of smell,OR5H15
methylation,METTL21EP
G protein-coupled receptor signaling pathway,OR6C68
detection of chemical stimulus involved in sensory perception of smell,OR6C68
mitophagy,RIMOC1
cell-matrix adhesion,TMEM8B
regulation of mitotic cell cycle,TMEM8B
response to virus,BTBD17
negative regulation of viral genome replication,BTBD17
chromatin organization,RCCD1
spermatogenesis,ARRDC5
cell differentiation,ARRDC5
methylation,FAM86C2P
transcription by RNA polymerase II,CXorf65
mRNA processing,RBMY1E
RNA splicing,RBMY1E
G protein-coupled receptor signaling pathway,OR5K3
detection of chemical stimulus involved in sensory perception of smell,OR5K3
mRNA transport,POM121B
female gonad development,CCDC182
negative regulation of transcription by RNA polymerase II,NUPR2
DNA damage response,NUPR2
